,,Barcode,Quantity,Item Name,Date,Company,Stock Take Code,Warehouse,Bin Location,, Count 2 , Count 3 , Count 4 , Count 5 ,
,,1522100290,3,"PLANET PIN, 1ST RED, RD2-03-069",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-04,45953.36597, -   , -   , -   ,  ,
,,1519102040,1,"RING GEAR ADAPTOR, 1ST RED, RD2-03-061",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-04,45953.36597, -   , -   , -   ,  ,
,,1519102060,0,"ROTARY SLEEVE, 1ST RED, RD2-03-068",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-04,45953.36597, -   , -   , -   ,  ,
,,1518100730,2,"FLOATING PINION, 1ST RED, RD2-03-051",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-04,45953.36597, -   , -   , -   ,  ,
,,1518100720,1,"MOTOR PINION, 1ST RED, RD2-03-050",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-04,45953.36597, -   , -   , -   ,  ,
,,1522100280,2,"EXPANSION PIN, Ø60 X 200, MAIN FRAME, RD2-01-002",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-03,45953.36736, -   , -   , -   ,  ,
,,1524100680,3,"WRAP AROUND, 8"", 48T, AUX EQUIPMENT, RD2-13-059",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-03,45953.36736, -   , -   , -   ,  ,
,,1514100170,1,"COLLARING BUSH, 8"", RD1-13-051",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-03,45953.36736, -   , -   , -   ,  ,
,,1524100670,1,"FLAT SPANNER, 8"", CHUCK, RD2-02-064",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-03,45953.36736, -   , -   , -   ,  ,
,,1510100460,2,"BEARING, TAPER ROLLER, 869448, LM869410",23102025,MASTER DRILLING (PTY) LTD,MASTER DRILLING (PTY) LTD23102025WH01,WH01,G-13-03,45953.36736, -   , -   , -   ,  ,
